STATE,STATEFP,COUNTYFP,COUNTYNS,COUNTYNAME,CLASSFP,FUNCSTAT
FL,12,1,308548,Alachua County,H1,A
FL,12,3,306920,Baker County,H1,A
FL,12,5,295738,Bay County,H1,A
FL,12,7,303634,Bradford County,H1,A
FL,12,9,295749,Brevard County,H1,A
FL,12,11,295753,Broward County,H1,A
FL,12,13,306919,Calhoun County,H1,A
FL,12,15,295742,Charlotte County,H1,A
FL,12,17,295752,Citrus County,H1,A
FL,12,19,295726,Clay County,H1,A
FL,12,21,295754,Collier County,H1,A
FL,12,23,306909,Columbia County,H1,A
FL,12,27,294452,DeSoto County,H1,A
FL,12,29,295725,Dixie County,H1,A
FL,12,31,293656,Duval County,H6,C
FL,12,33,295737,Escambia County,H1,A
FL,12,35,308547,Flagler County,H1,A
FL,12,37,306911,Franklin County,H1,A
FL,12,39,306918,Gadsden County,H1,A
FL,12,41,303633,Gilchrist County,H1,A
FL,12,43,295743,Glades County,H1,A
FL,12,45,306917,Gulf County,H1,A
FL,12,47,295736,Hamilton County,H1,A
FL,12,49,295746,Hardee County,H1,A
FL,12,51,307626,Hendry County,H1,A
FL,12,53,295751,Hernando County,H1,A
FL,12,55,295756,Highlands County,H1,A
FL,12,57,295757,Hillsborough County,H1,A
FL,12,59,295735,Holmes County,H1,A
FL,12,61,307624,Indian River County,H1,A
FL,12,63,295734,Jackson County,H1,A
FL,12,65,295733,Jefferson County,H1,A
FL,12,67,295732,Lafayette County,H1,A
FL,12,69,308551,Lake County,H1,A
FL,12,71,295758,Lee County,H1,A
FL,12,73,306916,Leon County,H1,A
FL,12,75,295724,Levy County,H1,A
FL,12,77,308549,Liberty County,H1,A
FL,12,79,295731,Madison County,H1,A
FL,12,81,295744,Manatee County,H1,A
FL,12,83,306922,Marion County,H1,A
FL,12,85,308550,Martin County,H1,A
FL,12,86,295755,Miami-Dade County,H1,A
FL,12,87,295759,Monroe County,H1,A
FL,12,89,295730,Nassau County,H1,A
FL,12,91,306915,Okaloosa County,H1,A
FL,12,93,295760,Okeechobee County,H1,A
FL,12,95,295750,Orange County,H1,A
FL,12,97,295748,Osceola County,H1,A
FL,12,99,295761,Palm Beach County,H1,A
FL,12,101,295739,Pasco County,H1,A
FL,12,103,295745,Pinellas County,H1,A
FL,12,105,295747,Polk County,H1,A
FL,12,107,306910,Putnam County,H1,A
FL,12,109,308371,St. Johns County,H1,A
FL,12,111,308372,St. Lucie County,H1,A
FL,12,113,306914,Santa Rosa County,H1,A
FL,12,115,295741,Sarasota County,H1,A
FL,12,117,303665,Seminole County,H1,A
FL,12,119,295740,Sumter County,H1,A
FL,12,121,295729,Suwannee County,H1,A
FL,12,123,295728,Taylor County,H1,A
FL,12,125,306913,Union County,H1,A
FL,12,127,306921,Volusia County,H1,A
FL,12,129,306912,Wakulla County,H1,A
FL,12,131,295727,Walton County,H1,A
FL,12,133,295762,Washington County,H1,A