county_name,is_coastal,wind_p95_present,rain_p95_present,surge_p95_present,wind_p95_future,rain_p95_future,surge_p95_future,wind_ratio,rain_ratio,surge_ratio,wind_pct_change,rain_pct_change,surge_pct_change,beta_wind,beta_rain,beta_surge,damage_scaling_wind,damage_scaling_rain,damage_scaling_surge,damage_scaling_total,damage_pct_increase
Alachua,0,29.305445731268758,110.44351388360222,0.0,33.277175775337234,166.70700925087473,0.0,1.1355287322690992,1.5094323141251824,1.0,13.552873226909924,50.943231412518244,0.0,4.38,0.45,0.0,1.7448889769650209,1.2035555487186305,1.0,2.1000708101242256,110.00708101242256
Baker,0,28.67770048622594,104.63524702243446,0.0,32.54628819942651,144.96157330302594,0.0,1.1348988068328514,1.3853990604766881,1.0,13.489880683285138,38.539906047668815,0.0,4.38,0.45,0.0,1.7406532714483782,1.1580003747865442,1.0,2.015677140710646,101.5677140710646
Bay,1,25.305833779720142,75.54797434104442,0.4695391320969999,29.396690302213518,135.13901668954782,0.5417589161429999,1.1616566518395097,1.7887841081047238,1.153809608826111,16.16566518395097,78.87841081047237,15.380960882611095,5.21,0.52,0.62,2.1830076247336523,1.3531007117631435,1.0927559348807085,3.2278143570280005,222.78143570280005
Bradford,0,29.13677542056659,107.54052011624425,0.0,32.760374119942576,156.1485622596282,0.0,1.1243651201173448,1.451997457691709,1.0,12.436512011734479,45.199745769170896,0.0,4.38,0.45,0.0,1.6709915611784367,1.1827273374803824,1.0,1.97632740010476,97.632740010476
Brevard,1,27.050033234659427,91.37636948481135,0.3451835746314999,29.789616789096815,135.51592456078757,0.3319494165200001,1.1012783766065308,1.4830521812344597,0.9616606329363707,10.127837660653082,48.30521812344597,-3.833936706362928,5.21,0.52,0.62,1.6530422492037273,1.2274430314409397,0.9760533120665544,1.9804269959082914,98.04269959082914
Broward,1,28.314252495881938,92.19234111281305,0.195015708536,32.10754272502249,157.35412751537586,0.19186655081499998,1.133971048528341,1.7068025923761243,0.9838518568760548,13.397104852834097,70.68025923761243,-1.6148143123945191,5.21,0.52,0.62,1.9252017444670542,1.3204905963036642,0.9899572030444909,2.51667989267811,151.667989267811
Calhoun,0,28.719031743599974,107.86067418112495,0.0,32.951256763267715,175.65443201874774,0.0,1.147366558527668,1.6285308127710139,1.0,14.7366558527668,62.85308127710139,0.0,4.38,0.45,0.0,1.8259781734299214,1.245398077691952,1.0,2.2740697070970857,127.40697070970856
Charlotte,1,26.575038660589886,99.74938502999241,0.48215274793999996,30.348631230691122,170.9087769478116,0.6426869585244998,1.141997627032609,1.713381753511978,1.3329523233416347,14.199762703260909,71.33817535119779,33.29523233416347,5.21,0.52,0.62,1.997265037856019,1.3231349813211661,1.195047208895886,3.158092986722849,215.8092986722849
Citrus,1,25.26093561793498,94.22840152995042,0.9731213639800005,30.188246925342074,167.71763536075017,1.4000475745399978,1.1950565563712614,1.779905334885002,1.4387179108841972,19.50565563712614,77.9905334885002,43.87179108841972,5.21,0.52,0.62,2.530427336861149,1.3496041047817546,1.2529822050637485,4.279028355167686,327.90283551676856
Clay,0,29.14899691977127,106.97365136159036,0.0,32.38892896677629,154.38902992576155,0.0,1.1111507179739935,1.4432435232172742,1.0,11.115071797399345,44.324352321727424,0.0,4.38,0.45,0.0,1.586666359610021,1.1795132605142835,1.0,1.8714940111719445,87.14940111719444
Collier,1,28.070368986966624,90.0540110001413,1.18640159699,31.042546440410227,155.7830177320425,1.3268719389949994,1.1058830879259383,1.7298842691405918,1.1184002313897359,10.588308792593825,72.98842691405918,11.840023138973589,5.21,0.52,0.62,1.6893709352009907,1.3297465299778715,1.0718408230068237,2.4078208881410954,140.78208881410953
Columbia,0,28.85761894309336,109.56298790923003,0.0,33.080824552026854,153.55409597092304,0.0,1.1463462897238776,1.401514311535791,1.0,14.634628972387764,40.15143115357911,0.0,4.38,0.45,0.0,1.8188770113073958,1.16404264637792,1.0,2.117250409678223,111.72504096782232
DeSoto,0,30.826466229370656,123.52740931933255,0.0,33.94963567579032,207.58431205032588,0.0,1.101314543219665,1.6804716662779264,1.0,10.131454321966494,68.04716662779265,0.0,4.38,0.45,0.0,1.5260607385764047,1.2631183298471726,1.0,1.927595291355971,92.7595291355971
Dixie,1,25.904066557851696,111.3726421062231,1.0299039833799994,30.839940155352476,189.7612646099358,1.3363096218299997,1.1905443454576186,1.7038409102758614,1.2975086472971722,19.054434545761858,70.38409102758614,29.750864729717218,5.21,0.52,0.62,2.481043932045369,1.3192986003425726,1.1752448635362507,3.846855896229167,284.6855896229167
Duval,1,25.512428760319093,77.8502010874145,0.41761686880000004,29.10976694296773,110.4541217091113,0.4127540971549999,1.141003354695905,1.4188032882058201,0.9883559301258515,14.100335469590508,41.880328820582015,-1.1644069874148455,5.21,0.52,0.62,1.988221931116022,1.1994980240510613,0.9927646186931167,2.3676128463924524,136.76128463924525
Escambia,1,25.11345090096736,93.38741136862873,0.46926342828099993,28.720341187897745,158.91337524310205,0.5742165540455,1.1436238355903374,1.7016573455940964,1.2236545526132512,14.362383559033741,70.16573455940964,22.365455261325117,5.21,0.52,0.62,2.012127347499478,1.3184191382880983,1.1333093578810938,3.006473894699749,200.6473894699749
Flagler,1,26.103407422451372,85.1941033748936,0.3624724926699999,29.10039993182658,125.90680891170723,0.3531154790449999,1.1148123057676067,1.4778817247453981,0.9741856609815086,11.48123057676067,47.78817247453981,-2.5814339018491395,5.21,0.52,0.62,1.761656125689221,1.2252159248468744,0.9839156635100864,2.123692560419099,112.36925604190988
Franklin,1,24.91413037611389,52.07367496904865,1.3044714497649983,30.07365898859564,95.75799720685733,1.6636433094799987,1.2070924542618566,1.8388945359604263,1.2753387852535372,20.709245426185664,83.88945359604263,27.533878525353717,5.21,0.52,0.62,2.666049372151536,1.372680763571423,1.1627540258731934,4.255254966562406,325.5254966562406
Gadsden,0,29.25729776047575,106.93026624181844,0.0,32.645452937292625,162.74620033424964,0.0,1.1158054680493605,1.521984425290977,1.0,11.580546804936054,52.19844252909771,0.0,4.38,0.45,0.0,1.615985895418519,1.2080491211018283,1.0,1.9521903406732928,95.21903406732928
Gilchrist,0,29.29292236435798,117.31488935163556,0.0,34.22767817079748,178.6504763547005,0.0,1.1684623874872058,1.5228286607030002,1.0,16.846238748720577,52.28286607030002,0.0,4.38,0.45,0.0,1.9776641847740914,1.2083506189594662,1.0,2.3897117417657414,138.97117417657415
Glades,0,30.77502948303703,127.47539099019517,0.0,33.89030181758711,200.43333692099628,0.0,1.1012272704739379,1.572329645681048,1.0,10.122727047393788,57.232964568104805,0.0,4.38,0.45,0.0,1.525531129971051,1.2258705769306713,1.0,1.8701037264233111,87.0103726423311
Gulf,1,25.253935173405896,50.93519663036233,0.5724973180394984,30.08139799357048,94.50841385054864,0.7341688211579993,1.1911568472739005,1.8554637902143416,1.28239646829381,19.115684727390047,85.54637902143416,28.239646829381005,5.21,0.52,0.62,2.487701326827847,1.3790985167451602,1.1667393202206828,4.002832003660694,300.28320036606937
Hamilton,0,29.304157811705576,107.47398030059718,0.0,32.80562434830445,143.91545054039585,0.0,1.1194870174946023,1.339072488045962,1.0,11.948701749460234,33.90724880459619,0.0,4.38,0.45,0.0,1.6394700577014856,1.1404121595613477,1.0,1.8696715890395184,86.96715890395184
Hardee,0,30.085570837098224,114.87213572177077,0.0,33.43801692261746,188.1402297861083,0.0,1.1114303594982815,1.6378230278922952,1.0,11.14303594982815,63.78230278922952,0.0,4.38,0.45,0.0,1.5884160980201683,1.2485908209019825,1.0,1.9832817597609258,98.32817597609258
Hendry,0,30.825922486845425,127.6371869720049,0.0,34.72367509829918,206.69416229591653,0.0,1.1264439851450703,1.6193882565107238,1.0,12.644398514507028,61.938825651072385,0.0,4.38,0.45,0.0,1.6845660722871125,1.2422469624792802,1.0,2.092647086394317,109.26470863943169
Hernando,1,25.43190740171443,86.61363308454145,0.9095063095600003,30.1358102776063,152.6394107977113,1.219581597489996,1.1849606723015238,1.7623023604889236,1.3409266585004171,18.49606723015238,76.23023604889237,34.09266585004171,5.21,0.52,0.62,2.421015169190915,1.3426469200039657,1.1994747647277137,3.898974958973674,289.89749589736743
Highlands,0,30.507095585838584,120.16381853642076,0.0,33.37470786335535,187.66760859555944,0.0,1.0939982036457676,1.5617646835758145,1.0,9.399820364576762,56.176468357581456,0.0,4.38,0.45,0.0,1.482152008612933,1.2221570547588354,1.0,1.8114225335512741,81.14225335512741
Hillsborough,1,25.94717787121055,89.41259404917226,0.8046767377249999,30.18457866298645,156.86773423905566,1.155080006075,1.163308728583109,1.7544254828168964,1.4354578881984068,16.330872858310897,75.44254828168964,43.54578881984068,5.21,0.52,0.62,2.199231163018923,1.339522959779079,1.2512211671982372,3.6859982575570465,268.59982575570467
Holmes,0,29.24614943918025,111.27056781264959,0.0,31.903603612586657,154.79393316337257,0.0,1.0908650927899999,1.39114894275417,1.0,9.086509278999987,39.11489427541699,0.0,4.38,0.45,0.0,1.4636497940427404,1.1601606564364497,1.0,1.6980689058497003,69.80689058497003
Indian River,1,27.333939337935412,96.93873503441267,0.25442304771,30.31272046866287,146.255560683274,0.25915653827999985,1.1089773773521177,1.5087421980760525,1.0186047294373495,10.897737735211766,50.87421980760525,1.8604729437349476,5.21,0.52,0.62,1.7141435874715716,1.2384538266676794,1.0114945025784337,2.147289223335151,114.7289223335151
Jackson,0,28.497877975734607,106.04727498032777,0.0,32.13046381576465,158.5824969841194,0.0,1.1274686387405572,1.4953943561316665,1.0,12.746863874055725,49.539435613166646,0.0,4.38,0.45,0.0,1.691288052514869,1.198505639013674,1.0,2.0270182681355253,102.70182681355253
Jefferson,1,25.360734444495296,91.83884495537649,1.0328121105249999,29.666613319201435,149.23526902552348,1.2803258007049994,1.1697852526449801,1.6249689167265375,1.2396500273453959,16.97852526449801,62.49689167265375,23.96500273453959,5.21,0.52,0.62,2.2637736453921864,1.2871804356970042,1.142471666980398,3.3290312215056486,232.90312215056485
Lafayette,0,30.06038926966669,114.66582715117184,0.0,34.1219876848092,175.44982875041057,0.0,1.1351146268796444,1.5300969136079758,1.0,13.511462687964437,53.00969136079758,0.0,4.38,0.45,0.0,1.7421035806322982,1.2109425024318416,1.0,2.109587269426347,110.95872694263468
Lake,0,28.69838219082979,114.20391238593669,0.0,32.564544244472486,175.3161227436522,0.0,1.1347170684820347,1.5351148532992476,1.0,13.471706848203468,53.51148532992476,0.0,4.38,0.45,0.0,1.7394327138172718,1.2127279674591893,1.0,2.109458699559642,110.94586995596418
Lee,1,26.827126693779878,70.28677751647687,0.9920822109,30.47463700066273,122.29246820114267,1.1301936148049978,1.135963504871547,1.7399071600994551,1.139213528046408,13.596350487154707,73.99071600994552,13.921352804640797,5.21,0.52,0.62,1.9428909021523704,1.3337473181596413,1.0841645004864675,2.8094231490714967,180.94231490714967
Leon,0,29.364813224448884,110.85178384703856,0.0,32.9306155119627,166.07427919104111,0.0,1.1214311202604155,1.4981651438468278,1.0,12.143112026041546,49.816514384682776,0.0,4.38,0.45,0.0,1.651977031316769,1.1995044400301529,1.0,1.9815537838922954,98.15537838922954
Levy,1,25.539552516092165,101.40149679616935,1.0933145173749999,30.55128075542095,173.04826505694544,1.4919623212000002,1.1962339802131214,1.7065651870823024,1.3646228353020502,19.623398021312145,70.65651870823024,36.46228353020502,5.21,0.52,0.62,2.5434433110129016,1.32039508379324,1.212572831424298,4.072244021485965,307.22440214859654
Liberty,0,29.68648143009165,111.19381112191262,0.0,33.38924850619193,180.0073414765111,0.0,1.124729060939432,1.6188611492081186,1.0,12.472906093943203,61.88611492081186,0.0,4.38,0.45,0.0,1.6733618940642685,1.2420649892994537,1.0,2.078424223045049,107.84242230450491
Madison,0,29.266803958020333,114.80952982056615,0.0,33.04646668805436,172.8183628401218,0.0,1.129145041129549,1.5052614761592977,1.0,12.914504112954894,50.52614761592977,0.0,4.38,0.45,0.0,1.7023302804977867,1.202057869912287,1.0,2.0462995108623554,104.62995108623554
Manatee,1,25.899863899248288,91.0489619349184,0.6183718211300001,30.381279204702956,159.2085022256103,0.7990351556449998,1.1730285205304192,1.7486031481699817,1.2921592417093295,17.302852053041917,74.86031481699817,29.21592417093295,5.21,0.52,0.62,2.2966650290427117,1.3372094993396137,1.1722383993860495,3.6000874818118547,260.00874818118547
Marion,0,29.097732885511675,110.85126491372897,0.0,33.181394609906555,173.14300924453454,0.0,1.14034294699589,1.5619398553308783,1.0,14.03429469958899,56.19398553308783,0.0,4.38,0.45,0.0,1.7775237243608368,1.22221873905605,1.0,2.172522805030516,117.2522805030516
Martin,1,26.823773253491517,97.81222797303678,0.2868116881664996,30.588491139368408,156.95468198825083,0.2854010965049997,1.1403500435956306,1.6046529624789292,0.9950818366142816,14.035004359563064,60.46529624789292,-0.4918163385718377,5.21,0.52,0.62,1.9822979691523546,1.2787869143998603,0.9969478828502037,2.5271997796073737,152.71997796073737
Miami-Dade,1,27.83907958176846,70.88903057960383,1.2097164161099991,31.492663751601288,130.79196168428507,1.5409238770699993,1.1312393977632123,1.845023972959965,1.2737891151679375,13.123939776321226,84.50239729599649,27.378911516793746,5.21,0.52,0.62,1.9011617115009816,1.3750580946201005,1.161877845473981,3.037390126960593,203.7390126960593
Monroe,1,28.338487980491866,66.28045105642974,1.1895826171200006,31.177030336949944,126.45165825729387,1.5156476441349997,1.1001656213361313,1.9078273508097934,1.2741001324517292,10.016562133613128,90.78273508097934,27.410013245172916,5.21,0.52,0.62,1.6443586349212713,1.3992016760801727,1.1620537265059507,2.673640847437402,167.3640847437402
Nassau,1,25.98587242169512,78.83306311361237,0.3801803603000001,29.125634796552024,106.96136949405094,0.37126603889999954,1.1208257395818597,1.3568084876150535,0.9765524501438833,12.082573958185971,35.680848761505345,-2.3447549856116745,5.21,0.52,0.62,1.8117300160473988,1.1719515206394717,0.9853970456609775,2.0922538821552914,109.22538821552914
Okaloosa,1,24.441921242503447,86.84046181057428,0.6063265543819999,28.515446670596607,150.61561729377917,0.6464526348539993,1.1666614183482458,1.7343944679603802,1.0661788833148083,16.66614183482458,73.43944679603803,6.617888331480826,5.21,0.52,0.62,2.2324543918041058,1.3315482170327055,1.040530099325711,3.0931012758242518,209.31012758242517
Okeechobee,0,30.43501106115213,122.74043419551306,0.0,33.262848210143915,189.02763041359856,0.0,1.0929139486887633,1.5400599738178924,1.0,9.291394868876335,54.00599738178924,0.0,4.38,0.45,0.0,1.4757287677657498,1.214484384553792,1.0,1.7922495442883126,79.22495442883127
Orange,0,29.541472041544548,120.66738448287367,0.0,32.33175819220343,172.88161676678467,0.0,1.0944531827080817,1.432712054503922,1.0,9.445318270808167,43.2712054503922,0.0,4.38,0.45,0.0,1.484853769413945,1.1756323057093607,1.0,1.7456420605773515,74.56420605773515
Osceola,0,29.873144948498382,115.11481908530853,0.0,32.63769217552387,172.2982828811192,0.0,1.0925428889140631,1.4967515368866802,1.0,9.254288891406315,49.67515368866802,0.0,4.38,0.45,0.0,1.4735355115527418,1.1989949964539854,1.0,1.7667617054490012,76.67617054490012
Palm Beach,1,27.19047310951637,87.13317890980534,0.31978832097200005,30.910161315200163,150.67341666515333,0.31727580215900003,1.1368011528854491,1.7292312506110847,0.9921432060165011,13.680115288544915,72.92312506110848,-0.7856793983498922,5.21,0.52,0.62,1.9503666982080539,1.329485482190558,0.9951214896247402,2.5803343098431197,158.03343098431196
Pasco,1,25.836637994456666,85.93534807478505,0.6624539622299999,30.42466828020422,149.9673509100611,0.8912226772849997,1.177578449222127,1.7451183188835637,1.3453347443951562,17.757844922212705,74.51183188835637,34.53347443951562,5.21,0.52,0.62,2.343457672343391,1.3358230598270506,1.2019179527756763,3.7625378034241903,276.253780342419
Pinellas,1,25.946473472921316,64.14776058487705,0.79376750558,30.67747346386863,115.58487654041417,1.0477546253599999,1.1823369103916124,1.8018536373631393,1.3199763129861313,18.233691039161236,80.18536373631393,31.99763129861313,5.21,0.52,0.62,2.393216014889044,1.358232585989591,1.187821017443235,3.8610644536886936,286.10644536886934
Polk,0,29.768997269726814,119.05438007590736,0.0,32.8512939844144,180.6673149326558,0.0,1.1035404915798621,1.5175192571658906,1.0,10.35404915798621,51.751925716589064,0.0,4.38,0.45,0.0,1.5396167816779418,1.2064529645322157,1.0,1.857475230498902,85.74752304989019
Putnam,0,29.250107700015704,110.3454431078193,0.0,32.56396409685405,159.87832911163147,0.0,1.1132938147623554,1.4488892713632404,1.0,11.329381476235545,44.88892713632404,0.0,4.38,0.45,0.0,1.6001139352155431,1.1815873654290086,1.0,1.890674409097577,89.06744090975769
Santa Rosa,1,28.056625564453505,99.08803572143034,0.9605147944799995,31.18608850307274,156.26957268515443,0.9390724859999994,1.1115409556252256,1.5770781100899247,0.977676256233133,11.15409556252256,57.70781100899247,-2.2323743766866966,5.21,0.52,0.62,1.734889005779553,1.2673123466396448,0.9860999623160673,2.168084991246842,116.80849912468419
Sarasota,1,26.1567117386921,66.05296909983753,0.5723050684010014,30.69251373467232,112.45338342024195,0.774904546839999,1.1734087169627656,1.7024727919164162,1.3540054694947616,17.34087169627656,70.24727919164162,35.400546949476166,5.21,0.52,0.62,2.30054591741512,1.3187476343509403,1.2067148564711303,3.6609791802752825,266.09791802752824
Seminole,0,29.378132487380913,117.95156593681376,0.0,32.1689392697734,167.60855262673942,0.0,1.094996054926064,1.420994718251829,1.0,9.499605492606399,42.0994718251829,0.0,4.38,0.45,0.0,1.4880824291216674,1.1712958610892135,1.0,1.742984790189792,74.2984790189792
St. Johns,1,25.990464888034953,75.1069921239762,0.4098287665999998,29.062039022933984,112.25414700646952,0.4009916752200002,1.1181808032272738,1.4945898289547548,0.9784371656229043,11.818080322727376,49.45898289547548,-2.156283437709572,5.21,0.52,0.62,1.7895658645785864,1.2323993247105647,0.9865757205402756,2.1758530548356125,117.58530548356126
St. Lucie,1,26.535207931958386,93.72840607049021,0.30321881268099987,30.12294384663236,146.24763222661272,0.3017546872974999,1.135206620150369,1.560334137724377,0.9951714059495171,13.5206620150369,56.03341377243769,-0.48285940504828595,5.21,0.52,0.62,1.9361558279309985,1.2602977396660728,0.9970035190258641,2.432821002032466,143.28210020324659
Sumter,0,29.190034201920444,114.73956263156258,0.0,33.4883976715734,179.21018015273614,0.0,1.1472544805074494,1.5618865496838876,1.0,14.725448050744937,56.18865496838876,0.0,4.38,0.45,0.0,1.8251970561233841,1.2221999686166176,1.0,2.2307557847131427,123.07557847131427
Suwannee,0,29.267926420801647,109.17161172763917,0.0,33.660683385764564,160.69839486441143,0.0,1.150087736032885,1.4719796827158818,1.0,15.008773603288494,47.197968271588174,0.0,4.38,0.45,0.0,1.8450224670919098,1.1900242653534756,1.0,2.1956215059617072,119.56215059617072
Taylor,1,25.872983563627965,87.88704738165782,1.3038494670849983,30.346488251095895,146.43109297862392,1.5859834394999996,1.1729025376437145,1.6661282484164566,1.2163852217239026,17.290253764371457,66.61282484164566,21.63852217239026,5.21,0.52,0.62,2.2953802152768334,1.3040324011772157,1.1291304091957186,3.3797697935025997,237.97697935025997
Union,0,28.865054482878502,109.41957450600259,0.0,33.06835123352199,156.66823891323114,0.0,1.1456188696098886,1.4318118050516158,1.0,14.561886960988858,43.18118050516158,0.0,4.38,0.45,0.0,1.8138271300247715,1.1752998276131237,1.0,2.1317907132381206,113.17907132381207
Volusia,1,26.28031343911398,87.25132166290133,0.3229240600000001,29.442908466463027,129.75057854286055,0.3153760596160001,1.1203408366622143,1.4870901160336176,0.9766261547369536,12.034083666221429,48.70901160336176,-2.337384526304642,5.21,0.52,0.62,1.807650088948898,1.2291797284467534,0.9854431557219478,2.189582602374357,118.95826023743572
Wakulla,1,25.377166087616065,62.136972349917514,1.0763967619799997,29.91834690446291,105.53887188688012,1.3613770139999999,1.1789475082529177,1.6984875058614393,1.2647536645707884,17.894750825291773,69.84875058614392,26.47536645707884,5.21,0.52,0.62,2.3576871849803767,1.317141475253622,1.1567611298618015,3.592214777465352,259.2214777465352
Walton,1,24.647224722012893,96.3162584908614,0.5220334861745003,28.432460635509695,162.06892834592765,0.5793340247604983,1.1535765508130247,1.6826746616058625,1.1097638951133282,15.357655081302468,68.26746616058625,10.976389511332819,5.21,0.52,0.62,2.1050472334227375,1.3107506465180674,1.066701649566248,2.943234681508021,194.3234681508021
Washington,0,29.246767307675334,115.21740376230215,0.0,32.50174372991179,175.43455301155942,0.0,1.1112935414947105,1.5226393475316296,1.0,11.129354149471048,52.26393475316296,0.0,4.38,0.45,0.0,1.5875598313644987,1.2082830184265676,1.0,1.918221584973869,91.82215849738691
