county_name,is_coastal,wind_mean_present,rain_mean_present,surge_mean_present,wind_mean_future,rain_mean_future,surge_mean_future,wind_ratio,rain_ratio,surge_ratio,wind_pct_change,rain_pct_change,surge_pct_change,beta_wind,beta_rain,beta_surge,damage_scaling_wind,damage_scaling_rain,damage_scaling_surge,damage_scaling_total,damage_pct_increase
Alachua,0,16.761839447096527,31.108093529787503,0.0,18.8995281384684,46.00150629414144,0.0,1.127533053313496,1.4787632604784833,1.0,12.753305331349596,47.87632604784833,0.0,2.5,0.45,0.0,1.3499671635469388,1.1924890324510844,1.0,1.609821036698824,60.98210366988239
Baker,0,16.815639045803447,29.163143118296787,0.0,18.85784507805486,40.588530706553804,0.0,1.1214468213335163,1.391774890317426,1.0,12.144682133351626,39.17748903174261,0.0,2.5,0.45,0.0,1.3318236134542425,1.16039553384227,1.0,1.5454421729179768,54.54421729179768
Bay,1,10.618238119419157,14.438582334181001,0.1742967019667831,13.722979554904214,27.5792044833167,0.19128940985004128,1.2923970161688065,1.910104671974806,1.0974924378893796,29.23970161688065,91.01046719748061,9.749243788937957,3.0,0.52,0.62,2.158677873398844,1.4000699255169926,1.059373128413018,3.201743373612012,220.1743373612012
Bradford,0,16.85962340203866,30.501201561949323,0.0,18.853099214829566,43.39480507735086,0.0,1.1182396336510234,1.4227244315765597,1.0,11.82396336510234,42.27244315765597,0.0,2.5,0.45,0.0,1.3223219348323512,1.1719372411859346,1.0,1.5496783202670728,54.96783202670728
Brevard,1,12.043902457691136,18.61583934640079,0.12807772185938654,14.177676992459249,30.693242189613663,0.13004835854757527,1.1771663599151074,1.6487702203327035,1.0153861364290644,17.716635991510742,64.87702203327035,1.538613642906439,3.0,0.52,0.62,1.6312237203717308,1.2969501091983848,1.00951171300228,2.1357389124070925,113.57389124070924
Broward,1,11.932521264529095,18.719911961553816,0.088148752874455,13.962381488392568,32.71179378252572,0.09078918544722771,1.170111580675402,1.7474330596358993,1.0299539418622452,17.01115806754021,74.74330596358993,2.9953941862245204,3.0,0.52,0.62,1.6020712720614305,1.3367441275765748,1.018467180149747,2.1811079274800007,118.11079274800007
Calhoun,0,15.87042264943291,28.601450228014144,0.0,18.167264597400383,45.29124965464853,0.0,1.1447246777214763,1.583529810902997,1.0,14.472467772147635,58.35298109029969,0.0,2.5,0.45,0.0,1.402014849041217,1.2297924136481022,1.0,1.7241872251728778,72.41872251728778
Charlotte,1,11.292266335872515,21.694152716778543,0.2198011648264321,13.766580246024853,37.68093344911899,0.24494509972452183,1.2191157751191477,1.7369165417121597,1.1143934816017156,21.91157751191477,73.69165417121597,11.439348160171559,3.0,0.52,0.62,1.811902619955006,1.3325547283410561,1.0694584324198764,2.582163968824144,158.21639688241441
Citrus,1,10.839661213997575,19.543802474880504,0.4507097088236718,13.769486266036663,35.659338765395255,0.5203355059266377,1.270287486288615,1.824585465732293,1.154480015095903,27.02874862886151,82.45854657322931,15.448001509590291,3.0,0.52,0.62,2.049774374818757,1.367116074473011,1.093149549159501,3.063310568608787,206.3310568608787
Clay,0,16.94171514704615,30.969457408970797,0.0,18.86728763525786,43.85806698200664,0.0,1.113658644230528,1.4161716166564426,1.0,11.365864423052807,41.61716166564426,0.0,2.5,0.45,0.0,1.3088209288931183,1.169505177056988,1.0,1.5306728521810378,53.06728521810378
Collier,1,11.348716664517669,18.969196079593658,0.3226221350734589,13.625292999186886,32.77189967512458,0.3655887883914451,1.2006020769894599,1.727637734882271,1.1331790831063713,20.060207698945987,72.76377348822709,13.317908310637128,3.0,0.52,0.62,1.730602277800842,1.328848266728654,1.0806003420239836,2.485065075490082,148.50650754900818
Columbia,0,16.731149561144065,29.46105461490152,0.0,18.888625562956374,42.002813025958645,0.0,1.128949649572981,1.4257063485774573,1.0,12.894964957298093,42.57063485774572,0.0,2.5,0.45,0.0,1.3542112980651329,1.173041933955631,1.0,1.588546640066889,58.85466400668891
DeSoto,0,16.89958919702812,37.45836823313284,0.0,18.472598739799658,57.60479824608216,0.0,1.0930797448004483,1.5378352134755862,1.0,9.307974480044834,53.78352134755862,0.0,2.5,0.45,0.0,1.2491932153743757,1.213694574471533,1.0,1.516139027966529,51.6139027966529
Dixie,1,11.176412539512192,22.715398472190852,0.2800581654010601,14.195879421597466,41.24781358797442,0.3332156024875257,1.2701642053070508,1.815852485379873,1.1898078822392448,27.016420530705076,81.5852485379873,18.980788223924485,3.0,0.52,0.62,2.0491776429541426,1.3637095871537226,1.1137703234111123,3.1124124546215812,211.24124546215813
Duval,1,11.215683172223386,15.938962150638888,0.20756168669423863,13.65884239747749,24.113001999868768,0.2110657137463555,1.2178341675583912,1.512833850732771,1.0168817772978562,21.783416755839124,51.2833850732771,1.6881777297856226,3.0,0.52,0.62,1.8061942832605808,1.240199184586705,1.0104333877045324,2.2634118901651865,126.34118901651865
Escambia,1,10.004308491228938,16.655962011223355,0.18477078055513513,12.85888254164816,30.63068065108998,0.20229905017004876,1.285334440415094,1.839021954506622,1.094864429850982,28.53344404150939,83.90219545066219,9.486442985098197,3.0,0.52,0.62,2.123481265343906,1.3727302221342559,1.057799639971706,3.0834509469473543,208.34509469473542
Flagler,1,11.43924058118313,17.676127856997606,0.17081538605492758,13.83132582156491,28.37898993792999,0.17525496823693953,1.2091122233415035,1.605498079784327,1.0259903764770224,20.91122233415035,60.5498079784327,2.5990376477022403,3.0,0.52,0.62,1.767664478858232,1.2791370872860581,1.0160353964475346,2.2973425902537166,129.73425902537167
Franklin,1,10.461486304018253,9.955198846135936,0.33229286071488084,13.755795478361618,19.696268392650612,0.4080171166444213,1.3148987403615184,1.9784906076291005,1.2278834034629198,31.489874036151843,97.84906076291004,22.78834034629198,3.0,0.52,0.62,2.273405613354016,1.4259151270161,1.1357360735401778,3.6816968376207213,268.1696837620721
Gadsden,0,16.103101852472914,28.92155820470318,0.0,18.260845713977915,42.105756424643126,0.0,1.133995533734894,1.4558605615493907,1.0,13.399553373489393,45.58605615493907,0.0,2.5,0.45,0.0,1.3693938093348546,1.1841423172990435,1.0,1.6215571586807391,62.15571586807391
Gilchrist,0,16.645989692539185,31.57216095364398,0.0,18.959760591198293,47.99662299318664,0.0,1.1389986899185371,1.52021974496577,1.0,13.899868991853715,52.021974496576995,0.0,2.5,0.45,0.0,1.384548142704288,1.207418611827225,1.0,1.671729196471974,67.1729196471974
Glades,0,16.90324108960673,35.129079169498084,0.0,18.474218960335833,53.27955422713913,0.0,1.0929394409901427,1.5166794852032808,1.0,9.293944099014272,51.667948520328075,0.0,2.5,0.45,0.0,1.248792399018852,1.2061524841149278,1.0,1.5062340542204287,50.623405422042865
Gulf,1,10.70680652069531,9.810008694215169,0.19817724146768959,13.948625341690933,19.225709953552375,0.22781706572726934,1.3027810871475438,1.9598054999771837,1.1495614454950756,30.27810871475438,95.98054999771837,14.956144549507556,3.0,0.52,0.62,2.2111302976865312,1.4188965917318506,1.0902596960249755,3.4205428764386436,242.05428764386437
Hamilton,0,16.576317443775416,28.250713796828347,0.0,18.74311982722846,39.34204861317461,0.0,1.1307167445414696,1.392603687946029,1.0,13.071674454146965,39.260368794602904,0.0,2.5,0.45,0.0,1.3595167383276305,1.160706438308267,1.0,1.5779998311647363,57.799983116473626
Hardee,0,16.83692665444375,34.178563784046204,0.0,18.487757422906583,52.33542512779456,0.0,1.098048218911669,1.531235335903384,1.0,9.804821891166892,53.12353359033839,0.0,2.5,0.45,0.0,1.2634368209088809,1.2113478538118465,1.0,1.5304614814348352,53.04614814348352
Hendry,0,16.936783573424858,35.14926627992843,0.0,18.514399421425228,54.43927995762369,0.0,1.0931473055680103,1.5488027253618055,1.0,9.314730556801031,54.880272536180556,0.0,2.5,0.45,0.0,1.2493862487856386,1.2175820778077684,1.0,1.5212303047808713,52.12303047808713
Hernando,1,10.90584973847809,17.783114247404956,0.42474215234122786,13.789820247993807,32.54382845890396,0.48720654747359593,1.264442506932584,1.8300409689833728,1.1470639250757968,26.444250693258397,83.00409689833728,14.706392507579679,3.0,0.52,0.62,2.0216094612756987,1.3692401406296721,1.0887905061717624,3.0138470549727785,201.38470549727785
Highlands,0,16.919333926620585,34.78089723864406,0.0,18.463449059408084,52.042601857990164,0.0,1.0912633469036668,1.4962984135978157,1.0,9.126334690366678,49.629841359781565,0.0,2.5,0.45,0.0,1.2440101424033287,1.1988316413471283,1.0,1.4913587208698573,49.135872086985735
Hillsborough,1,11.064403910054242,18.698700711652425,0.31193494275577266,13.787340182099049,34.21753935700452,0.376755454064091,1.24609875489738,1.8299420400765714,1.2078007129786545,24.60987548973801,82.99420400765713,20.780071297865454,3.0,0.52,0.62,1.9348949281307022,1.3692016503560585,1.1241831580365416,2.978254967144308,197.82549671443078
Holmes,0,15.906681164541743,27.362116688509712,0.0,17.873442631667775,38.397443451899605,0.0,1.12364372700614,1.403306750194412,1.0,12.364372700613991,40.33067501944121,0.0,2.5,0.45,0.0,1.3383557803100878,1.1647123389788305,1.0,1.5587994912708003,55.87994912708003
Indian River,1,11.948351747504264,20.632485482235907,0.10833229017910757,14.102330942885255,33.49715378927188,0.11234133809767495,1.1802741550152935,1.623515169541594,1.0370066109128524,18.027415501529354,62.35151695415939,3.70066109128524,3.0,0.52,0.62,1.6441774664203324,1.2865815004363823,1.0227854601918218,2.1635679521887434,116.35679521887434
Jackson,0,15.859934504267086,27.426193911323722,0.0,18.017551024991388,39.96275955946999,0.0,1.1360419479728527,1.4571018943269511,1.0,13.604194797285274,45.71018943269512,0.0,2.5,0.45,0.0,1.3755802115147742,1.1845965548752218,1.0,1.6295075795149303,62.95075795149303
Jefferson,1,10.88872841657987,18.343041265021593,0.28831532259861725,13.876061084636826,31.24274692207928,0.3396187700119209,1.2743508956617338,1.703247883894166,1.1779415294663227,27.435089566173374,70.3247883894166,17.79415294663227,3.0,0.52,0.62,2.069507885618717,1.3190598039838701,1.1068702499207779,3.021539572831991,202.1539572831991
Lafayette,0,16.51079871680822,30.956459365113826,0.0,18.886158616331063,47.11698256159823,0.0,1.1438670409831628,1.5220404079109895,1.0,14.386704098316283,52.20404079109895,0.0,2.5,0.45,0.0,1.3993903230233475,1.2080691167610256,1.0,1.6905602315387418,69.05602315387418
Lake,0,16.83441031144967,33.72738502129988,0.0,18.66323772513778,49.58613537963265,0.0,1.1086362558127745,1.4702039567583887,1.0,10.863625581277446,47.02039567583887,0.0,2.5,0.45,0.0,1.2941144696506661,1.1893780361201534,1.0,1.539191326427783,53.9191326427783
Lee,1,11.278445911406509,15.363494869265363,0.32392637360321325,13.744158877342697,26.762616033948206,0.35871144286784523,1.218621675954557,1.7419614169641402,1.1073853959228561,21.862167595455695,74.19614169641402,10.738539592285612,3.0,0.52,0.62,1.809700458038237,1.3345659385662079,1.0652836239923862,2.5728352872987252,157.28352872987253
Leon,0,16.235644125356455,29.71955488722967,0.0,18.46246359679679,43.451923156674326,0.0,1.137156205019691,1.4620650564749986,1.0,13.715620501969106,46.20650564749986,0.0,2.5,0.45,0.0,1.378955697889833,1.1864105881133538,1.0,1.6360076405157369,63.60076405157369
Levy,1,11.046788064243493,20.970508714688677,0.3336779024600512,13.989745975000748,37.64316181236786,0.4070436374025818,1.2664084462591116,1.7950523532578184,1.2198692647381688,26.640844625911164,79.50523532578184,21.98692647381688,3.0,0.52,0.62,2.031053648759607,1.3555642354606083,1.1311344754074717,3.114266230376805,211.42662303768049
Liberty,0,16.031626362989034,29.272642525714595,0.0,18.302656747501675,46.82663956813288,0.0,1.1416593794935375,1.5996724220345167,1.0,14.165937949353747,59.96724220345166,0.0,2.5,0.45,0.0,1.3926480409672162,1.2354181458682543,1.0,1.7205026606187748,72.05026606187748
Madison,0,16.414907607668958,33.23453344335327,0.0,18.660526739409566,48.2503305100093,0.0,1.1368036329298516,1.4518130708961716,1.0,13.680363292985165,45.181307089617164,0.0,2.5,0.45,0.0,1.3778870930632956,1.182659748440561,1.0,1.629571602861733,62.957160286173306
Manatee,1,11.17538171377727,18.982088817727362,0.24127880576164365,13.839356527965418,35.09689975037872,0.2774473685317114,1.2383788441449919,1.8489481973476776,1.1499029836164494,23.83788441449919,84.89481973476775,14.990298361644939,3.0,0.52,0.62,1.8991557047156429,1.3765781334937899,1.0904605147148998,2.8508304148773824,185.08304148773823
Marion,0,16.668533415526543,32.1295651497249,0.0,18.81161500556783,48.35568970131605,0.0,1.128570487159629,1.5050215890241672,1.0,12.857048715962893,50.50215890241672,0.0,2.5,0.45,0.0,1.3530745407834202,1.2019716610457296,1.0,1.6263572533041353,62.63572533041353
Martin,1,11.103285198559748,19.77459974406615,0.1608564713078736,13.274048178248414,33.19146630895317,0.16520249503206508,1.1955063519816542,1.6784898839949054,1.0270178543082615,19.550635198165423,67.84898839949054,2.7017854308261535,3.0,0.52,0.62,1.7086600441621307,1.3090545322274623,1.0166661316861474,2.274006797820651,127.40067978206508
Miami-Dade,1,11.041918891758089,14.366689771269604,0.44403280468693196,13.245196326100595,26.789503324202773,0.5081480873201031,1.1995375311486436,1.8646955482452658,1.1443927961259075,19.95375311486436,86.46955482452658,14.439279612590749,3.0,0.52,0.62,1.726002904422007,1.3826623135253844,1.0872178435557325,2.5946227357887484,159.46227357887483
Monroe,1,11.16270583187734,13.988521577318147,0.3687320558381111,13.423216068421818,26.606321653906747,0.4343288545315636,1.2025055634435493,1.902010916938997,1.1778977980272325,20.25055634435493,90.2010916938997,17.78977980272325,3.0,0.52,0.62,1.7388466500590907,1.3969818470986746,1.1068447721454615,2.6886778162014116,168.86778162014116
Nassau,1,11.55994773671586,16.278987241134946,0.1645949180023082,14.065782869094596,23.793740962457317,0.16673331512108527,1.216768706284993,1.4616228975664187,1.0129917992179314,21.6768706284993,46.16228975664187,1.2991799217931366,3.0,0.52,0.62,1.8014578085731818,1.2181881645726633,1.0080351503398788,2.212147835965308,121.2147835965308
Okaloosa,1,9.875671403010458,15.959326148690176,0.14619368965065369,12.877672081293651,29.082249055519753,0.16355654452685262,1.3039793702926068,1.8222729432491527,1.1187652911175443,30.39793702926068,82.22729432491526,11.87652911175443,3.0,0.52,0.62,2.217237228411299,1.3662147884148628,1.0720577240944738,3.2475011549365247,224.75011549365246
Okeechobee,0,16.91929238599336,34.66017565439505,0.0,18.497802896533493,52.07406042936427,0.0,1.0932964796181681,1.502417657838483,1.0,9.32964796181681,50.241765783848294,0.0,2.5,0.45,0.0,1.2498125295839466,1.2010353928177957,1.0,1.5010690824174582,50.10690824174582
Orange,0,16.92965564767052,34.731297619237516,0.0,18.630721991633713,50.630043521444,0.0,1.1004784904599503,1.4577642223087,1.0,10.047849045995028,45.77642223087,0.0,2.5,0.45,0.0,1.2704392303860752,1.1848388317045166,1.0,1.5052657334822226,50.52657334822226
Osceola,0,16.913539103871294,34.39668829907289,0.0,18.57395268573018,50.19495842031589,0.0,1.0981706710518184,1.4592962416783763,1.0,9.817067105181842,45.92962416783764,0.0,2.5,0.45,0.0,1.2637890902354854,1.1853990061559014,1.0,1.4980943315558153,49.80943315558153
Palm Beach,1,10.989426962972818,17.48001072055295,0.189067779493128,13.201204082213742,30.40278931229176,0.19487203652778406,1.201264080959734,1.7392888974178569,1.0306991828593628,20.126408095973392,73.92888974178568,3.0699182859362795,3.0,0.52,0.62,1.7334665842083483,1.3335008499540673,1.0189240136797344,2.355323519118943,135.53235191189432
Pasco,1,11.089287819824403,17.63625500233337,0.27645010968759803,13.869123850381412,32.34567585833507,0.3217732927019005,1.2506775750657224,1.8340444170268089,1.1639464680229343,25.067757506572242,83.40444170268088,16.394646802293433,3.0,0.52,0.62,1.9563028550865402,1.3707969251995904,1.098698329532645,2.946372650560744,194.63726505607443
Pinellas,1,11.069699252544062,13.536816830354457,0.29049053997842306,13.956358025670802,25.664059485191476,0.34367733712387605,1.2607711778341353,1.8958710094807765,1.1830924134637573,26.077117783413527,89.58710094807765,18.309241346375728,3.0,0.52,0.62,2.004051214270703,1.394635026987839,1.1098686265915392,3.1019940432530597,210.19940432530598
Polk,0,16.87640989470725,34.75009751956696,0.0,18.542285693804278,51.37476911032614,0.0,1.0987103128437976,1.4784064592334387,1.0,9.871031284379761,47.84064592334387,0.0,2.5,0.45,0.0,1.2653422294626455,1.192359546266072,1.0,1.50874288659338,50.874288659338006
Putnam,0,16.93898709256833,31.601860554847253,0.0,18.836886675759125,45.53385631416183,0.0,1.1120432680405192,1.4408599707056693,1.0,11.204326804051924,44.08599707056693,0.0,2.5,0.45,0.0,1.304079936926326,1.1786362641046395,1.0,1.537035904952659,53.7035904952659
Santa Rosa,1,13.313581921896876,21.588411604878473,0.1624830455475397,16.037781709862887,36.282870760253495,0.17570078490333818,1.2046180809438995,1.680664179637479,1.0813479213374906,20.461808094389955,68.06641796374791,8.134792133749059,3.0,0.52,0.62,1.7480269841837177,1.3099360396950057,1.049684003381886,2.4035701520123576,140.35701520123575
Sarasota,1,11.283389264768363,13.771255469388583,0.2242526455056073,13.898200413532974,24.84102691152603,0.25585407112754155,1.231739848344091,1.8038316232613831,1.1409182247659115,23.17398483440909,80.38316232613832,14.091822476591155,3.0,0.52,0.62,1.868774824842613,1.3590077021597564,1.0851700546216176,2.7559840121273385,175.59840121273385
Seminole,0,16.978137883069127,33.941928574361775,0.0,18.672822136660013,49.272997711106186,0.0,1.0998156667973102,1.4516852556409998,1.0,9.981566679731024,45.16852556409998,0.0,2.5,0.45,0.0,1.268527114795273,1.1826128935601374,1.0,1.5001765217875305,50.017652178753046
St. Johns,1,11.135641965874873,15.648043421819292,0.21178453435622446,13.541750698521048,24.85788259215313,0.21643528191023875,1.2160727261119708,1.5885616708431527,1.0219597035659278,21.607272611197082,58.85616708431527,2.19597035659278,3.0,0.52,0.62,1.7983683260004424,1.2721025447273426,1.0135587761250158,2.3187274570000627,131.87274570000628
St. Lucie,1,11.25752683079672,18.87017535939013,0.16152933868265892,13.362640256752718,31.399744691107838,0.1665368642241516,1.1869960667738375,1.6639879295819497,1.031000526478994,18.699606677383752,66.39879295819497,3.1000526478994095,3.0,0.52,0.62,1.6724295776738907,1.3031610449661517,1.0191087020008978,2.2210914425598256,122.10914425598256
Sumter,0,16.722610744920402,33.64503590264466,0.0,18.703143047948693,51.1059814271184,0.0,1.1184343889123594,1.5189753714641112,1.0,11.843438891235936,51.897537146411125,0.0,2.5,0.45,0.0,1.3228977568344726,1.2069737628916926,1.0,1.5967028834874828,59.67028834874828
Suwannee,0,16.618267081654523,29.74441431252677,0.0,18.875343209689643,43.328016463264,0.0,1.1358189744529867,1.4566773966814714,1.0,13.581897445298674,45.66773966814714,0.0,2.5,0.45,0.0,1.3749053402798845,1.1844412435449103,1.0,1.6284945909976445,62.849459099764445
Taylor,1,11.073814188995808,17.952818593195467,0.32122316910969634,14.090389314930718,31.99707625796848,0.3768243042623227,1.272406128732627,1.7822870158009114,1.1730913813450907,27.24061287326269,78.22870158009114,17.309138134509073,3.0,0.52,0.62,2.0600476068541083,1.3505428700321334,1.104042376655701,3.0716474981238364,207.16474981238363
Union,0,16.740203235385025,30.020820868739364,0.0,18.883412621108675,43.328079781679456,0.0,1.1280276725174827,1.4432676417429104,1.0,12.802767251748271,44.32676417429104,0.0,2.5,0.45,0.0,1.3514481387194308,1.1795221305319405,1.0,1.5940629878857686,59.40629878857686
Volusia,1,11.757719240179517,18.494464782841746,0.13949999613305117,14.131435097203696,30.079382600276308,0.14428857973292247,1.2018857234681013,1.6263991592653884,1.0343265190400799,20.18857234681013,62.63991592653883,3.4326519040079884,3.0,0.52,0.62,1.736159133518535,1.2877694362418015,1.0211457849029386,2.283049836539244,128.3049836539244
Wakulla,1,10.87059751757983,12.326209992636576,0.29320904827603617,13.953551764481384,22.39616750634905,0.35614533158847655,1.2836048302138865,1.8169548225101828,1.2146457247372042,28.36048302138865,81.69548225101828,21.464572473720423,3.0,0.52,0.62,2.11492040834669,1.3641400105285821,1.1281290119262695,3.2547058398087003,225.47058398087003
Walton,1,9.904234969632869,17.262484690949503,0.23283652323477474,13.022184937083903,31.563007409884033,0.24736363807150397,1.3148097417116174,1.8284161953821116,1.0623916396073378,31.480974171161733,82.84161953821116,6.2391639607337845,3.0,0.52,0.62,2.272944019628891,1.3686078633469763,1.0382369464728425,3.2297153681797948,222.97153681797948
Washington,0,15.8240133848989,29.061529830898156,0.0,17.947839756326466,44.07475714684587,0.0,1.1342153969130848,1.516601393206227,1.0,13.421539691308482,51.6601393206227,0.0,2.5,0.45,0.0,1.3700576634866801,1.2061245372178444,1.0,1.6524601653346334,65.24601653346333
